,Resale-Cat,model,fuel_type,vehicle_class,displ,cyl,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
94,High,GMC Sierra 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,2WD,5,14.0,20.0,16.5,4,No,470.5,207299,204211,30244
95,High,GMC Sierra 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,2WD,6,14.0,20.0,16.5,4,No,470.5,207299,204211,30244
96,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-6,2WD,5,16.0,23.0,19.0,4,No,479.0,207299,204211,30244
97,High,GMC Sierra 15,Gasoline,special purpose,5.3,8.0,Auto-6,2WD,5,15.0,20.0,17.0,3,No,523.0,207299,204211,30244
98,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-6,2WD,6,16.0,23.0,19.0,4,No,479.0,207299,204211,30244
99,High,GMC Sierra 15,Gasoline,special purpose,5.3,8.0,Auto-6,2WD,6,15.0,20.0,17.0,3,No,523.0,207299,204211,30244
100,High,GMC Sierra 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,4WD,5,13.5,18.0,15.0,4,No,524.5,207299,204211,30244
101,High,GMC Sierra 15,Ethanol/Gas,pickup,5.3,8.0,Auto-6,4WD,6,13.5,18.0,15.0,4,No,524.5,207299,204211,30244
102,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-6,4WD,5,16.0,22.0,18.0,4,No,495.0,207299,204211,30244
103,High,GMC Sierra 15,Gasoline,special purpose,5.3,8.0,Auto-6,4WD,5,15.0,19.0,17.0,3,No,523.0,207299,204211,30244
104,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-6,4WD,6,16.0,22.0,18.0,4,No,495.0,207299,204211,30244
105,High,GMC Sierra 15,Gasoline,special purpose,5.3,8.0,Auto-6,4WD,6,15.0,19.0,17.0,3,No,523.0,207299,204211,30244
106,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,2WD,5,18.0,24.0,20.0,4,No,446.0,207299,204211,30244
107,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,2WD,6,18.0,24.0,20.0,4,No,446.0,207299,204211,30244
108,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,2WD,5,16.0,22.0,18.0,4,No,493.0,207299,204211,30244
109,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,2WD,6,16.0,22.0,18.0,4,No,493.0,207299,204211,30244
110,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,5,16.0,21.0,18.0,4,No,489.0,207299,204211,30244
111,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,6,16.0,21.0,18.0,4,No,489.0,207299,204211,30244
112,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,5,15.0,21.0,17.0,3,No,523.0,207299,204211,30244
113,High,GMC Sierra 15,Gasoline,pickup,5.3,8.0,Auto-8,4WD,6,15.0,21.0,17.0,3,No,523.0,207299,204211,30244
114,High,GMC Sierra 15,Gasoline,pickup,6.2,8.0,Auto-8,2WD,6,15.0,21.0,17.0,3,No,522.0,207299,204211,30244
115,High,GMC Sierra 15,Gasoline,pickup,6.2,8.0,Auto-8,2WD,6,15.0,21.0,17.0,3,No,522.0,207299,204211,30244
116,High,GMC Sierra 15,Gasoline,pickup,6.2,8.0,Auto-8,4WD,6,15.0,21.0,17.0,3,No,521.0,207299,204211,30244
117,High,GMC Sierra 15,Gasoline,pickup,6.2,8.0,Auto-8,4WD,6,15.0,21.0,17.0,3,No,521.0,207299,204211,30244
118,Low,JAGUAR XJ,Gasoline,large car,3.0,6.0,SemiAuto-8,2WD,7,18.0,27.0,21.0,5,No,414.0,3542,2553,1348
119,Low,JAGUAR XJ,Gasoline,large car,3.0,6.0,SemiAuto-8,2WD,9,18.0,27.0,21.0,5,No,414.0,3542,2553,1348
120,Low,JAGUAR XJ,Gasoline,large car,3.0,6.0,SemiAuto-8,4WD,7,17.0,26.0,20.0,4,No,443.0,3542,2553,1348
121,Low,JAGUAR XJ,Gasoline,large car,3.0,6.0,SemiAuto-8,4WD,9,17.0,26.0,20.0,4,No,443.0,3542,2553,1348
122,Low,JAGUAR XJ,Gasoline,large car,5.0,8.0,SemiAuto-8,2WD,5,15.0,23.0,18.0,4,No,504.0,3542,2553,1348
123,Low,JAGUAR XJ,Gasoline,large car,5.0,8.0,SemiAuto-8,2WD,6,15.0,23.0,18.0,4,No,504.0,3542,2553,1348
124,High,JEEP Wrangler,Gasoline,small SUV,3.6,6.0,Auto-5,4WD,6,17.0,21.0,18.0,4,No,482.0,180991,179188,228293
125,High,JEEP Wrangler,Gasoline,small SUV,3.6,6.0,Auto-5,4WD,6,17.0,21.0,18.0,4,No,482.0,180991,179188,228293
126,High,JEEP Wrangler,Gasoline,small SUV,3.6,6.0,Man-6,4WD,6,17.0,21.0,18.0,4,No,481.0,180991,179188,228293
127,High,JEEP Wrangler,Gasoline,small SUV,3.6,6.0,Man-6,4WD,6,17.0,21.0,18.0,4,No,481.0,180991,179188,228293
128,High,JEEP Wrangler Unlimited,Gasoline,small SUV,3.6,6.0,Auto-5,4WD,6,16.0,20.0,18.0,4,No,505.0,180991,179188,228293
129,High,JEEP Wrangler Unlimited,Gasoline,small SUV,3.6,6.0,Auto-5,4WD,6,16.0,20.0,18.0,4,No,505.0,180991,179188,228293
130,High,JEEP Wrangler Unlimited,Gasoline,small SUV,3.6,6.0,Man-6,4WD,6,16.0,21.0,18.0,4,No,503.0,180991,179188,228293
