Resale-Cat,fuel_type,vehicle_class,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
1,4,0,7,1,6,43.5,48.5,2,9,2,214.0,12071,8731,7909
1,4,0,7,1,6,43.5,48.5,2,9,2,214.0,12071,8731,7909
1,3,0,7,0,6,21.0,29.0,2,5,1,372.0,12071,8731,7909
1,3,0,7,0,6,21.0,29.0,2,5,1,372.0,12071,8731,7909
0,0,2,2,0,6,22.0,30.0,2,5,1,411.0,103217,106583,20848
0,0,2,2,0,6,22.0,30.0,2,5,1,411.0,103217,106583,20848
1,3,4,2,0,6,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,2,0,6,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,2,0,6,27.0,33.0,2,7,2,300.0,14380,11467,4916
1,3,4,2,0,6,27.0,33.0,2,7,2,300.0,14380,11467,4916
1,3,4,5,0,6,28.0,33.0,2,7,2,299.0,14380,11467,4916
1,3,4,5,0,6,28.0,33.0,2,7,2,299.0,14380,11467,4916
1,3,4,5,0,6,31.0,38.0,2,8,2,264.0,14380,11467,4916
1,3,4,5,0,6,31.0,38.0,2,8,2,264.0,14380,11467,4916
1,3,4,2,0,6,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,2,0,6,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,5,0,6,28.0,33.0,2,7,2,299.0,14380,11467,4916
1,3,4,5,0,6,28.0,33.0,2,7,2,299.0,14380,11467,4916
1,3,6,2,0,6,22.0,30.0,2,5,1,356.0,14380,11467,4916
1,3,6,2,0,6,22.0,30.0,2,5,1,356.0,14380,11467,4916
1,3,3,6,0,6,25.0,33.0,2,6,1,317.0,14380,11467,4916
1,3,3,6,0,6,25.0,33.0,2,6,1,317.0,14380,11467,4916
1,3,3,4,0,6,22.0,30.0,2,5,1,353.0,14380,11467,4916
1,3,3,4,0,6,22.0,30.0,2,5,1,353.0,14380,11467,4916
1,3,3,4,1,6,21.0,29.0,2,5,1,364.0,14380,11467,4916
1,3,3,4,1,6,21.0,29.0,2,5,1,364.0,14380,11467,4916
0,0,2,2,0,6,22.0,30.0,2,5,1,411.0,35179,30047,5042
0,0,2,2,0,6,22.0,30.0,2,5,1,411.0,35179,30047,5042
1,4,0,7,1,3,43.5,48.5,2,9,2,214.0,12071,8731,7909
1,3,0,7,0,3,21.0,29.0,2,5,1,372.0,12071,8731,7909
1,3,0,7,0,3,21.0,29.0,2,5,1,372.0,12071,8731,7909
0,0,2,2,0,3,22.0,30.0,2,4,1,413.0,103217,106583,20848
0,0,2,2,0,3,22.0,30.0,2,4,1,413.0,103217,106583,20848
1,3,4,2,0,3,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,2,0,3,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,5,0,3,28.0,33.0,2,7,2,292.0,14380,11467,4916
1,3,4,5,0,3,28.0,33.0,2,7,2,292.0,14380,11467,4916
1,3,4,2,0,3,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,2,0,3,24.0,32.0,2,6,1,326.0,14380,11467,4916
1,3,4,5,0,3,28.0,33.0,2,7,2,292.0,14380,11467,4916
1,3,4,5,0,3,28.0,33.0,2,7,2,292.0,14380,11467,4916
1,3,6,2,0,3,22.0,30.0,2,5,1,356.0,14380,11467,4916
1,3,6,2,0,3,22.0,30.0,2,5,1,356.0,14380,11467,4916
1,3,3,6,0,3,25.0,33.0,2,6,1,317.0,14380,11467,4916
1,3,3,6,0,3,25.0,33.0,2,6,1,317.0,14380,11467,4916
1,3,3,4,0,7,22.0,30.0,2,5,1,354.0,14380,11467,4916
1,3,3,4,0,7,22.0,30.0,2,5,1,354.0,14380,11467,4916
1,3,3,4,1,7,21.0,29.0,2,5,1,364.0,14380,11467,4916
1,3,3,4,1,7,21.0,29.0,2,5,1,364.0,14380,11467,4916
0,0,2,2,0,3,22.0,30.0,2,4,1,413.0,35179,30047,5042
0,0,2,2,0,3,22.0,30.0,2,4,1,413.0,35179,30047,5042
1,1,4,0,0,10,121.0,103.0,0,10,0,0.0,12071,8731,7909
1,1,4,0,0,10,121.0,103.0,0,10,0,0.0,12071,8731,7909
1,1,1,0,0,10,126.0,101.0,0,10,0,0.0,13251,10458,14565
1,1,1,0,0,10,126.0,101.0,0,10,0,0.0,13251,10458,14565
1,1,1,0,0,10,124.0,101.0,0,10,0,0.0,13251,10458,14565
1,1,1,0,0,10,124.0,101.0,0,10,0,0.0,13251,10458,14565
1,1,4,0,0,10,121.0,103.0,0,10,0,0.0,12071,8731,7909
1,1,4,0,0,10,121.0,103.0,0,10,0,0.0,12071,8731,7909
1,1,1,0,0,10,124.0,101.0,0,10,0,0.0,13251,10458,14565
1,1,1,0,0,10,124.0,101.0,0,10,0,0.0,13251,10458,14565
1,1,4,0,0,10,121.0,103.0,0,10,0,0.0,12071,8731,7909
1,1,4,0,0,10,121.0,103.0,0,10,0,0.0,12071,8731,7909
1,1,1,0,0,10,125.0,100.0,0,10,0,0.0,13251,10458,14565
1,1,4,0,0,10,124.0,94.0,0,10,0,0.0,609,529,1148
1,1,4,0,0,10,124.0,94.0,0,10,0,0.0,609,529,1148
1,1,4,0,0,10,112.0,91.0,0,10,0,0.0,609,529,1148
1,1,4,0,0,10,112.0,91.0,0,10,0,0.0,609,529,1148
